artist_id,artist_name,artist_popularity,artist_genre,artist_picture
6KImCVD70vtIoJWnq6nGn3,Harry Styles,90,pop,https://i.scdn.co/image/b2163e7456f3d618a0e2a4e32bc892d6b11ce673
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,95,dance pop,https://i.scdn.co/image/330f9806621bc0fe67f5c06f2f1f8df53d011b4e
0wnYgCeP013HkKoOyC5V32,Allie X,64,art pop,https://i.scdn.co/image/ac2acae675ec873870064f8849b9d9564b04b7ea
2cWZOOzeOm4WmBJRnD5R7I,Normani,78,dance pop,https://i.scdn.co/image/eaef9743235fa95f1cb777fb690747c2fbd7e01d
56oDRnqbIiwx4mymNEv7dS,Lizzo,83,escape room,https://i.scdn.co/image/e33e4245fe5901ed940ba95070bb8d56679b6fe0
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,89,modern rock,https://i.scdn.co/image/01b36ca0f45f2f15117022a2754287a6ca1acdcc
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,88,dance pop,https://i.scdn.co/image/5c40cb9dc570181bd5ff5a1d1c773cc3436cae5c
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,98,canadian contemporary r&b,https://i.scdn.co/image/d9a875c37277c35b94c60c00d2cd256db098505d
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,76,baile pop,https://i.scdn.co/image/7b6914e454fd0d2039744d5800a62715486daee3
2wY79sveU1sp5g7SokKOiI,Sam Smith,90,pop,https://i.scdn.co/image/f9c59fff374544fb32293622bd8fce042c2756b4
2nlffOJxvfOImrGDlFr498,Kids Hits Now!,1,None,https://i.scdn.co/image/ab67616d0000b273dd18b996e5fa79ce170c36fb
0EmeFodog0BfCgMzAIvKQp,Shakira,86,colombian pop,https://i.scdn.co/image/234f86923486e8ba3860def8518c01d5054aac1f
7vXDAI8JwjW531ouMGbfcp,TINI,77,latin pop,https://i.scdn.co/image/522ae3bf48a76dac19e0e79184da459f8f774001
3e7awlrlDSwF3iM0WBjGMp,Little Mix,83,dance pop,https://i.scdn.co/image/5734f0304545846d01f729670014a16574f3d486
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,81,r&b en espanol,https://i.scdn.co/image/212e68416e861c2b2a7bf02d92448bdbe53ad163
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,83,dance pop,https://i.scdn.co/image/90e30d448412c75b896da19a68db1da01ed99133
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,81,australian pop,https://i.scdn.co/image/7a138ceca55230ab6475ca69d217452fb2300d86
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,85,big room,https://i.scdn.co/image/19b193e731a99776449d2b06742942e1e1f58fb2
4SsVbpTthjScTS7U2hmr1X,Arcangel,88,latin,https://i.scdn.co/image/b6f1a47bc8e6d673bfc6c71d1dff3b006fc3a896
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,97,latin,https://i.scdn.co/image/ae3600b01af301d517ac1426cccd4e613f335545
790FomKkXshlbRYZFtlgla,KAROL G,87,latin,https://i.scdn.co/image/f051a956ab76980862481bce3bb9a1e545d08a86
163tK9Wjr9P9DmM0AVK7lm,Lorde,80,art pop,https://i.scdn.co/image/d25fc756cd04c8b3ea196b7c07c6d057685cc405
2SdOKxC1sSxEyv8JYERaNe,RuPaul,66,dance pop,https://i.scdn.co/image/02b3bea6925094d916d56d21da5bd989380e1a57
3m5qlPf2OkihLz3dRYnkPA,Ovy On The Drums,71,None,https://i.scdn.co/image/1fd4b37a41a3be02a8d90372c7400bb0fb23f24a
4q3ewBCX7sLwd24euuV69X,Bad Bunny,100,latin,https://i.scdn.co/image/23009960c33ef08d5973440cca17985a6c70a515
6BeO1KuAWBqFriL1mLHtNc,Leslie Grace,64,bachata,https://i.scdn.co/image/bf14799e732946b47d3cabbdb68b9168ebd5f487
5dbaLmK5SHLLg8Z4CcTJpX,Greeicy,76,colombian pop,https://i.scdn.co/image/25add97a5805c03e5a35a60830f89bc181ce08a2
2wkoKEfS6dXwThbyTnZWFU,Mau y Ricky,81,latin,https://i.scdn.co/image/5c2cf545129d57e90bfecf7f4e9a8fd61f5ff93e
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,86,art pop,https://i.scdn.co/image/6e8dc460cfb6b89d7970302259febd0aa73b38c6
4mNfOTm9TO3w8v3TIzaNZ7,New Tribute Kings,40,None,https://i.scdn.co/image/ab67616d0000b273a947a892b4bfa0ef9885c9fd
5WUlDfRSoLAfcVSX1WnrxN,Sia,86,australian dance,https://i.scdn.co/image/652b6bb0dfaf8aa444f4414ee018699260e74306
6nS5roXSAGhTGr34W6n7Et,Disclosure,82,house,https://i.scdn.co/image/cde64861a67aa8de5e33c5290d30cf40b4caa36e
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,95,electropop,https://i.scdn.co/image/2622edec99d68d1d141886be593c88cbe509f6d8
1tqZaCwM57UFKjWoYwMLrw,The Cardigans,65,dance pop,https://i.scdn.co/image/6b0b8b24424033aac921f37c51917d8533622613
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,91,la indie,https://i.scdn.co/image/c0492ddbdf41c4595ee1334d3f896ea786005fe9
2jzc5TC5TVFLXQlBNiIUzE,a-ha,73,dance rock,https://i.scdn.co/image/528c24e536180c6e47316a46f6717c1fc94d0677
04gDigrS5kc9YWfZHwBETP,Maroon 5,90,pop,https://i.scdn.co/image/608c7b23420c9556a7eabd9097f7e171a91d3871
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,89,pop,https://i.scdn.co/image/5ed13d249e562fea4e296aaeb745ce06d27ec88f
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,80,latin,https://i.scdn.co/image/e5353ed54644668617c17df15dad774d4741fd75
3mIj9lX2MWuHmhNCA7LSCW,The 1975,82,indie pop,https://i.scdn.co/image/94dd2feca73bdfb7e1c12751b499ec0a46024866
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,89,permanent wave,https://i.scdn.co/image/c942640d486338e4ae144a497f0cfd3f35ceb7af
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,78,hollywood,https://i.scdn.co/image/75d36765aad4334c14b73152bac6467ff51e9986
35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,63,dance pop,https://i.scdn.co/image/a93b0372e1caf4bc5645beb07b226cbc6065a4f7
586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,73,electropop,https://i.scdn.co/image/128e5aa3e82eba10ac0017ded76318df52053538
26dSoYclwsYLMAKD3tpOr4,Britney Spears,82,dance pop,https://i.scdn.co/image/f19b6ebb7ea955bfdc0fdd5ae54dd604ac774b27
2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,63,baroque pop,https://i.scdn.co/image/1e721c9502da1663fe9dd0b9f8a90519546f0a9f
