artist_id,artist_name,main_band_member,artist_age,artist_country,artist_dateofbirth,artist_zodiac,grammy_wins,grammy_noms
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Dan Reynolds,32,U.S.,1987-07-14,Cancer,1,4
3e7awlrlDSwF3iM0WBjGMp,Little Mix,Jesy Nelson,26,England,1993-07-10,Cancer,0,0
6nS5roXSAGhTGr34W6n7Et,Disclosure,Guy Lawrence,NULL,England,NULL,NULL,0,5
1tqZaCwM57UFKjWoYwMLrw,The Cardigans,Nina Persson,43,Sweden,1978-09-06,Virgo,0,0
2jzc5TC5TVFLXQlBNiIUzE,a-ha,Magne Furuholmen,57,Norway,1962-11-01,Scorpio,0,1
04gDigrS5kc9YWfZHwBETP,Maroon 5,Adam Levine,41,U.S.,1979-03-18,Pisces,3,13
3mIj9lX2MWuHmhNCA7LSCW,The 1975,Matthew Healy,NULL,England,NULL,NULL,0,0
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Chris Martin,43,England,1977-03-02,Pisces,7,29
586uxXMyD5ObPuzjtrzO1Q,Sofi Tukker,Sophie Hawley-Weld,NULL,United States,NULL,NULL,0,2
2Z7UcsdweVlRbAk5wH5fsf,The Last Shadow Puppets,Alex Turner,34,England,1986-01-06,Capricorn,0,0
6KImCVD70vtIoJWnq6nGn3,Mau y Ricky,Mauricio Montaner,NULL,Venezuela,NULL,NULL,0,0
