artist_id,artist_name,artist_age,artist_country,artist_dateofbirth,artist_zodiac,grammy_wins,grammy_noms
6KImCVD70vtIoJWnq6nGn3,Harry Styles,26,England,1994-02-01,Aquarius,0,0
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,24,England,1995-08-22,Leo,2,2
0wnYgCeP013HkKoOyC5V32,Allie X,34,Canada,1985-07-31,Leo,0,0
2cWZOOzeOm4WmBJRnD5R7I,Normani,23,U.S.,1996-05-31,Geminis,0,0
56oDRnqbIiwx4mymNEv7dS,Lizzo,32,U.S.,1988-04-27,Taurus,3,8
1HY2Jd0NmPuamShAr6KMms,Lady Gaga,34,U.S.,1986-03-28,Aries,11,27
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,30,Canada,1990-02-16,Aquarius,3,10
6tzRZ39aZlNqlUzQlkuhDV,Pabllo Vittar,25,Brazil,1994-11-01,Scorpio,0,0
2wY79sveU1sp5g7SokKOiI,Sam Smith,27,England,1992-05-19,Taurus,4,6
0EmeFodog0BfCgMzAIvKQp,Shakira,43,Colombia,1977-02-02,Aquarius,3,6
7vXDAI8JwjW531ouMGbfcp,TINI,23,Argentina,1997-03-21,Aries,0,0
7ltDVBr6mKbRvohxheJ9h1,ROSALÍA,26,Spain,1993-09-25,Libra,1,2
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,27,England,1993-01-12,Capricorn,0,0
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,24,South Africa,1995-06-05,Gemini,0,0
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,23,Netherlands,1996-05-14,Taurus,0,0
4SsVbpTthjScTS7U2hmr1X,Arcangel,34,U.S.,1985-12-23,Capricorn,0,1
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,34,Colombia,1985-05-07,Taurus,0,2
790FomKkXshlbRYZFtlgla,KAROL G,29,Colombia,1991-02-14,Aquarius,0,0
163tK9Wjr9P9DmM0AVK7lm,Lorde,23,New Zealand,1996-11-07,Scorpio,2,5
2SdOKxC1sSxEyv8JYERaNe,RuPaul,59,U.S.,1960-11-17,Scorpio,0,0
4q3ewBCX7sLwd24euuV69X,Bad Bunny,26,Puerto Rico,1994-03-10,Pisces,0,3
6BeO1KuAWBqFriL1mLHtNc,Leslie Grace,25,U.S.,1995-01-07,Capricorn,0,0
5dbaLmK5SHLLg8Z4CcTJpX,Greeicy,27,Colombia,1992-10-30,Scorpio,0,0
00FQb4jTyendYWaN8pK0wa,Lana Del Rey,34,U.S.,1985-06-21,Cancer,0,6
5WUlDfRSoLAfcVSX1WnrxN,Sia,44,Australia,1975-12-18,Sagittarius,0,9
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,18,US,2001-12-18,Sagittarius,5,6
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,24,U.S.,1995-10-21,Libra,0,0
4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,23,Scotland,1996-10-07,Libra,0,1
4QVBYiagIaa6ZGSPMbybpy,Pedro Capó,39,Puerto Rico,1980-11-14,Scorpio,0,0
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,48,U.S.,1971-05-30,Geminis,0,0
35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,38,U.S.,1981-09-12,Virgo,2,6
26dSoYclwsYLMAKD3tpOr4,Britney Spears,38,U.S.,1981-12-02,Sagittarius,1,8
